"subscriptionId";"mgPath";"type";"id";"name";"location";"tags";"createdTime";"changedTime";"cafResourceNamingResult";"cafResourceNaming";"cafResourceNamingFriendlyName"
"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878/a3ad3fff-f3c5-46cf-ac18-d384307648f8";"microsoft.network/virtualnetworks";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourcegroups/mlz-rg-avd-test/providers/microsoft.network/virtualnetworks/mlz-vnet-avd";"mlz-vnet-avd";"usgovvirginia";"";"12/5/2022 9:51:08 PM";"12/12/2022 10:40:41 PM";"failed";"vnet-";"Virtual network"
"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878/a3ad3fff-f3c5-46cf-ac18-d384307648f8";"microsoft.storage/storageaccounts";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourcegroups/mlz-rg-avd-test/providers/microsoft.storage/storageaccounts/mlzrgavdtestguestdiag";"mlzrgavdtestguestdiag";"usgovvirginia";"";"12/5/2022 10:59:59 PM";"12/5/2022 11:10:25 PM";"failed";"st, stvm";"Storage account, VM storage account"
"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878/a3ad3fff-f3c5-46cf-ac18-d384307648f8";"microsoft.compute/disks";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourcegroups/mlz-rg-hub-test/providers/microsoft.compute/disks/mlz-vm-bas-linux-test_osdisk_1_ba6c46b181f84a59b84b629e491e5f06";"mlz-vm-bas-linux-test_osdisk_1_ba6c46b181f84a59b84b629e491e5f06";"usgovvirginia";"";"8/12/2022 4:02:07 PM";"8/12/2022 4:12:09 PM";"failed";"disk, osdisk";"Managed disk (data), Managed disk (OS)"
"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878/a3ad3fff-f3c5-46cf-ac18-d384307648f8";"microsoft.compute/disks";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourcegroups/mlz-rg-hub-test/providers/microsoft.compute/disks/mlz-vm-bas-windows-test_osdisk_1_dad3144a0cbf4a268d0fdd60bada2dd8";"mlz-vm-bas-windows-test_osdisk_1_dad3144a0cbf4a268d0fdd60bada2dd8";"usgovvirginia";"";"8/12/2022 4:02:11 PM";"8/12/2022 4:12:13 PM";"failed";"disk, osdisk";"Managed disk (data), Managed disk (OS)"
"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878/a3ad3fff-f3c5-46cf-ac18-d384307648f8";"microsoft.compute/virtualmachines";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourcegroups/mlz-rg-hub-test/providers/microsoft.compute/virtualmachines/mlz-vm-bas-linux-test";"mlz-vm-bas-linux-test";"usgovvirginia";"";"8/12/2022 4:02:06 PM";"12/8/2022 5:09:46 PM";"failed";"vm";"Virtual machine"
"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878/a3ad3fff-f3c5-46cf-ac18-d384307648f8";"microsoft.compute/virtualmachines/extensions";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourcegroups/mlz-rg-hub-test/providers/microsoft.compute/virtualmachines/mlz-vm-bas-linux-test/extensions/azurepolicyforlinux";"mlz-vm-bas-linux-test/azurepolicyforlinux";"usgovvirginia";;"8/12/2022 4:02:53 PM";"8/12/2022 4:13:13 PM";"n/a";"n/a";"n/a"
"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878/a3ad3fff-f3c5-46cf-ac18-d384307648f8";"microsoft.compute/virtualmachines/extensions";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourcegroups/mlz-rg-hub-test/providers/microsoft.compute/virtualmachines/mlz-vm-bas-linux-test/extensions/dependencyagentlinux";"mlz-vm-bas-linux-test/dependencyagentlinux";"usgovvirginia";;"8/12/2022 4:05:17 PM";"8/12/2022 4:16:11 PM";"n/a";"n/a";"n/a"
"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878/a3ad3fff-f3c5-46cf-ac18-d384307648f8";"microsoft.compute/virtualmachines/extensions";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourcegroups/mlz-rg-hub-test/providers/microsoft.compute/virtualmachines/mlz-vm-bas-linux-test/extensions/microsoft.azure.networkwatcher";"mlz-vm-bas-linux-test/microsoft.azure.networkwatcher";"usgovvirginia";;"8/12/2022 4:03:12 PM";"8/12/2022 4:13:48 PM";"n/a";"n/a";"n/a"
"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878/a3ad3fff-f3c5-46cf-ac18-d384307648f8";"microsoft.compute/virtualmachines/extensions";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourcegroups/mlz-rg-hub-test/providers/microsoft.compute/virtualmachines/mlz-vm-bas-linux-test/extensions/omsextension";"mlz-vm-bas-linux-test/omsextension";"usgovvirginia";;"8/12/2022 4:03:51 PM";"8/12/2022 4:15:21 PM";"n/a";"n/a";"n/a"
"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878/a3ad3fff-f3c5-46cf-ac18-d384307648f8";"microsoft.compute/virtualmachines";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourcegroups/mlz-rg-hub-test/providers/microsoft.compute/virtualmachines/mlz-vm-bas-windows-test";"mlz-vm-bas-windows-test";"usgovvirginia";"";"8/12/2022 4:02:09 PM";"8/12/2022 4:13:15 PM";"failed";"vm";"Virtual machine"
"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878/a3ad3fff-f3c5-46cf-ac18-d384307648f8";"microsoft.compute/virtualmachines/extensions";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourcegroups/mlz-rg-hub-test/providers/microsoft.compute/virtualmachines/mlz-vm-bas-windows-test/extensions/azurepolicyforwindows";"mlz-vm-bas-windows-test/azurepolicyforwindows";"usgovvirginia";;"8/12/2022 4:03:29 PM";"8/12/2022 4:18:16 PM";"n/a";"n/a";"n/a"
"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878/a3ad3fff-f3c5-46cf-ac18-d384307648f8";"microsoft.compute/virtualmachines/extensions";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourcegroups/mlz-rg-hub-test/providers/microsoft.compute/virtualmachines/mlz-vm-bas-windows-test/extensions/dependencyagentwindows";"mlz-vm-bas-windows-test/dependencyagentwindows";"usgovvirginia";;"8/12/2022 4:03:29 PM";"8/12/2022 4:18:33 PM";"n/a";"n/a";"n/a"
"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878/a3ad3fff-f3c5-46cf-ac18-d384307648f8";"microsoft.compute/virtualmachines/extensions";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourcegroups/mlz-rg-hub-test/providers/microsoft.compute/virtualmachines/mlz-vm-bas-windows-test/extensions/enablevmaccess";"mlz-vm-bas-windows-test/enablevmaccess";"usgovvirginia";;"12/9/2022 3:30:22 PM";"12/9/2022 3:41:42 PM";"n/a";"n/a";"n/a"
"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878/a3ad3fff-f3c5-46cf-ac18-d384307648f8";"microsoft.compute/virtualmachines/extensions";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourcegroups/mlz-rg-hub-test/providers/microsoft.compute/virtualmachines/mlz-vm-bas-windows-test/extensions/iaasantimalware";"mlz-vm-bas-windows-test/iaasantimalware";"usgovvirginia";;"12/8/2022 5:20:26 PM";"12/8/2022 5:31:04 PM";"n/a";"n/a";"n/a"
"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878/a3ad3fff-f3c5-46cf-ac18-d384307648f8";"microsoft.compute/virtualmachines/extensions";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourcegroups/mlz-rg-hub-test/providers/microsoft.compute/virtualmachines/mlz-vm-bas-windows-test/extensions/mde.windows";"mlz-vm-bas-windows-test/mde.windows";"usgovvirginia";;"8/12/2022 11:49:14 PM";"8/13/2022 12:00:24 AM";"n/a";"n/a";"n/a"
"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878/a3ad3fff-f3c5-46cf-ac18-d384307648f8";"microsoft.compute/virtualmachines/extensions";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourcegroups/mlz-rg-hub-test/providers/microsoft.compute/virtualmachines/mlz-vm-bas-windows-test/extensions/microsoft.azure.networkwatcher";"mlz-vm-bas-windows-test/microsoft.azure.networkwatcher";"usgovvirginia";;"8/12/2022 4:03:29 PM";"8/12/2022 4:18:21 PM";"n/a";"n/a";"n/a"
"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878/a3ad3fff-f3c5-46cf-ac18-d384307648f8";"microsoft.compute/virtualmachines/extensions";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourcegroups/mlz-rg-hub-test/providers/microsoft.compute/virtualmachines/mlz-vm-bas-windows-test/extensions/mmaextension";"mlz-vm-bas-windows-test/mmaextension";"usgovvirginia";;"8/12/2022 4:03:29 PM";"8/12/2022 4:18:29 PM";"n/a";"n/a";"n/a"
"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878/a3ad3fff-f3c5-46cf-ac18-d384307648f8";"microsoft.devtestlab/schedules";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourcegroups/mlz-rg-hub-test/providers/microsoft.devtestlab/schedules/shutdown-computevm-mlz-vm-bas-linux-test";"shutdown-computevm-mlz-vm-bas-linux-test";"usgovvirginia";;"9/1/2022 8:25:25 PM";"9/1/2022 8:35:26 PM";"n/a";"n/a";"n/a"
"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878/a3ad3fff-f3c5-46cf-ac18-d384307648f8";"microsoft.devtestlab/schedules";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourcegroups/mlz-rg-hub-test/providers/microsoft.devtestlab/schedules/shutdown-computevm-mlz-vm-bas-windows-test";"shutdown-computevm-mlz-vm-bas-windows-test";"usgovvirginia";;"9/1/2022 8:25:49 PM";"9/1/2022 8:35:50 PM";"n/a";"n/a";"n/a"
"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878/a3ad3fff-f3c5-46cf-ac18-d384307648f8";"microsoft.insights/privatelinkscopes";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourcegroups/mlz-rg-hub-test/providers/microsoft.insights/privatelinkscopes/plscopemlz-log-operations-testd137eaa3";"plscopemlz-log-operations-testd137eaa3";"global";"";"8/12/2022 3:57:27 PM";"8/12/2022 4:07:28 PM";"n/a";"n/a";"n/a"
"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878/a3ad3fff-f3c5-46cf-ac18-d384307648f8";"microsoft.network/azurefirewalls";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourcegroups/mlz-rg-hub-test/providers/microsoft.network/azurefirewalls/mlz-afw-hub-test";"mlz-afw-hub-test";"usgovvirginia";"@{resourcePrefix=mlz; resourceSuffix=test; DeploymentType=MissionLandingZoneARM}";"8/12/2022 3:49:48 PM";"12/9/2022 9:37:06 PM";"failed";"afw-";"Firewall"
